"","gameId","gsis_play_id","poss_team_fixed","offense","defense","coverage_type","pass_coverage","pass_pattern_by_player","pass_pattern_basic","pass_breakup","pass_receiver_target","press_players","playId","playDescription","quarter","down","yardsToGo","possessionTeam","playType","yardlineSide","yardlineNumber","offenseFormation","personnelO","defendersInTheBox","numberOfPassRushers","personnelD","typeDropback","preSnapVisitorScore","preSnapHomeScore","gameClock","absoluteYardlineNumber","penaltyCodes","penaltyJerseyNumbers","passResult","offensePlayResult","playResult","epa","isDefensivePI","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr","week"
"11",2018101406,1403,"IND","IND","NYJ","MAN","1b","IND 85 r; IND 33 r; IND 11 1z; IND 14 0(-4); IND 16 9z","-; -; 3; 0; 9",NA,"IND 14","NYJ 58 > IND 85",1403,"(8:39) (Shotgun) A.Luck pass short right to Z.Pascal to IND 41 for 6 yards (M.Claiborne).",2,1,10,"IND","play_type_pass","IND",35,"SHOTGUN","1 RB, 1 TE, 3 WR",7,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",13,10,"08:39:00",75,"","","C",6,6,-0.112050705756303,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"12",2018101406,1709,"IND","IND","NYJ","MAN","2M","IND 14 3o(13); IND 80 26(5); IND 85 8(9); IND 21 kr; IND 11 3(11)","3; 6; 8; -; 3",NA,"IND 11","NYJ 21 > IND 14; NYJ 43 > IND 80; NYJ 58 > IND 85",1709,"(2:35) (Shotgun) A.Luck pass short right to R.Grant ran ob at IND 37 for 12 yards.",2,1,10,"IND","play_type_pass","IND",25,"SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",13,17,"02:35:00",85,"","","C",12,12,0.399090372797874,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"13",2018101406,1883,"NYJ","NYJ","IND","MAN","1","NYJ 11 6(16); NYJ 85 c1; NYJ 86 c3(2); NYJ 10 4(13); NYJ 16 9","6; 3; 3; 4; 9",NA,NA,"IND 31 > NYJ 85",1883,"(1:36) (Shotgun) S.Darnold sacked at IND 30 for -3 yards (J.Ward).",2,3,15,"NYJ","play_type_sack","IND",27,"EMPTY","0 RB, 2 TE, 3 WR",4,4,"4 DL, 1 LB, 6 DB","SCRAMBLE",13,17,"01:36:00",83,"","","S",-3,-3,-0.974745481101089,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"14",2018101406,1953,"IND","IND","NYJ","MAN","1","IND 85 kxd(0); IND 21 krh6(-2); IND 11 39(14); IND 14 3(5); IND 16 9","X; H6; 9; 3; 9",NA,"IND 14","NYJ 58 > IND 85",1953,"(1:25) (Shotgun) A.Luck pass short right to Z.Pascal to IND 27 for 2 yards (P.Nickerson).",2,1,10,"IND","play_type_pass","IND",25,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",13,20,"01:25:00",85,"","","C",2,2,-0.209712350390707,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"15",2018101406,2433,"IND","IND","NYJ","MAN","2M","IND 11 6(10); IND 85 xd(3); IND 21 h9(0); IND 14 0u(-5); IND 16 xd(2)","6; X; H9; 0; X",NA,"IND 21","NYJ 21 > IND 11",2433,"(11:30) (Shotgun) A.Luck pass short left to N.Hines to 50 for 11 yards (J.Adams; D.Lee).",3,1,10,"IND","play_type_pass","IND",39,"SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",13,30,"11:30:00",49,"","","C",11,11,0.71710047680719,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"16",2018101406,3640,"IND","IND","NYJ","MAN","2M","IND 16 9o; IND 14 3(6); IND 80 3(10); IND 25 klh4(-1); IND 86 k2(-1)","9; 3; 3; H4; 2",NA,"IND 80","NYJ 21 > IND 16",3640,"(8:36) (Shotgun) A.Luck pass short left to C.Rogers pushed ob at IND 45 for 16 yards (T.Brooks).",4,2,21,"IND","play_type_pass","IND",29,"SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",27,36,"08:36:00",81,"","","C",16,16,0.136376805424984,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"17",2018123007,2532,"CAR","CAR","NO","MAN","2M","CAR 11 0(-4); CAR 12 1z; CAR 34 kl; CAR 80 1z; CAR 13 0t(-5)","0; 3; -; 3; 0",NA,"CAR 13","NO 20 > CAR 12; NO 25 > CAR 13",2532,"(7:37) (Shotgun) K.Allen pass incomplete short right to J.Wright.",3,3,10,"CAR","play_type_pass","CAR",23,"SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"4 DL, 2 LB, 5 DB","TRADITIONAL",23,0,"07:37:00",87,"","","I",0,0,-1.60507899881651,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"18",2018123008,4605,"NYG","NYG","DAL","MAN","1b","NYG 12 4o(10); NYG 18 xl(7); NYG 26 h3(-8); NYG 88 1; NYG 87 9b(14)","4; X; H3; 3; 9",NA,"NYG 87","DAL 27 > NYG 87; DAL 30 > NYG 18; DAL 31 > NYG 12",4605,"(:56) (Shotgun) E.Manning pass incomplete deep right to S.Shepard.",4,3,10,"NYG","play_type_pass","NYG",48,"SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"4 DL, 1 LB, 6 DB","TRADITIONAL",36,35,"00:56:00",62,"","","I",0,0,-0.692534313969226,FALSE,"12/30/2018","13:00:00","NYG","DAL",17
"19",2018102802,1625,"NYJ","NYJ","CHI","MAN","1","NYJ 10 xd(2); NYJ 18 9y; NYJ 19 1; NYJ 89 26(6); NYJ 40 8(12)","X; 9; 3; 6; 8","CHI 39","NYJ 10","CHI 23 > NYJ 19; CHI 37 > NYJ 18",1625,"(2:49) (Shotgun) S.Darnold pass incomplete short middle to J.Kearse (E.Jackson). NYJ-J.Kearse was injured during the play.",2,3,6,"NYJ","play_type_pass","NYJ",28,"EMPTY","1 RB, 1 TE, 3 WR",4,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",3,7,"02:49:00",82,"","","I",0,0,-1.09770710645122,FALSE,"10/28/2018","13:00:00","CHI","NYJ",8
"20",2018123000,1192,"CLE","CLV","BLT","MAN","1","CLV 81 0(-4); CLV 80 1z; CLV 85 1z; CLV 29 h0(-3); CLV 11 9z","0; 3; 3; H0; 9",NA,"CLV 29","BLT 22 > CLV 81; BLT 25 > CLV 80",1192,"(13:04) (No Huddle, Shotgun) B.Mayfield pass short middle to D.Johnson to BLT 48 for 3 yards (B.Urban).",2,1,10,"CLE","play_type_pass","CLE",49,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",7,17,"13:04:00",59,"","","C",3,3,-0.250611442883144,FALSE,"12/30/2018","16:25:00","BAL","CLE",17
"21",2018122400,1278,"OAK","OAK","DEN","MAN","1b","OAK 82 3o(7); OAK 87 34(5); OAK 41 klh3(-5); OAK 30 h4(3); OAK 88 7i(13)","3; 4; H3; H4; 7",NA,"OAK 30","DEN 22 > OAK 88; DEN 29 > OAK 82",1278,"(11:21) (Shotgun) D.Carr pass short right to J.Richard pushed ob at DEN 47 for 14 yards (J.Jewell).",2,2,5,"OAK","play_type_pass","OAK",39,"SHOTGUN","2 RB, 1 TE, 2 WR",7,5,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,7,"11:21:00",49,"","","C",14,14,1.38000898086505,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"22",2018122400,794,"OAK","OAK","DEN","MAN","1","OAK 83 2(4); OAK 88 1; OAK 82 x6(6); OAK 30 h21(-1); OAK 87 2(3)","2; 3; X; H4; 2",NA,"OAK 87","DEN 22 > OAK 87; DEN 55 > OAK 88",794,"(2:36) (No Huddle, Shotgun) D.Carr pass incomplete short right to J.Cook.",1,2,4,"OAK","play_type_pass","OAK",26,"SHOTGUN","1 RB, 2 TE, 2 WR",6,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,7,"02:36:00",84,"","","I",0,0,-0.928908574662297,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"23",2018122400,816,"OAK","OAK","DEN","MAN","1","OAK 82 9o; OAK 10 9si; OAK 87 xo(15); OAK 30 ch26(-1); OAK 88 6i(11)","9; 9; X; H2; 6",NA,"OAK 82","DEN 22 > OAK 88; DEN 29 > OAK 10; DEN 34 > OAK 87; DEN 41 > OAK 82",816,"(2:32) (Shotgun) D.Carr pass incomplete deep left to J.Nelson (I.Yiadom).",1,3,4,"OAK","play_type_pass","OAK",26,"SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"3 DL, 2 LB, 6 DB","TRADITIONAL",0,7,"02:32:00",84,"","","I",0,0,-1.63953836873817,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"24",2018122400,1060,"DEN","DEN","OAK","MAN","1b","DEN 70 k; DEN 32 kl; DEN 30 3(7); DEN 19 9s; DEN 17 9o","-; -; 3; 9; 9",NA,NA,"OAK 22 > DEN 17",1060,"(15:00) C.Keenum sacked at OAK 47 for -2 yards (K.Joseph).",2,2,8,"DEN","play_type_sack","OAK",45,"SINGLEBACK","6 OL, 2 RB, 0 TE, 2 WR",8,7,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,7,"15:00:00",55,"","","S",-2,-2,-0.984066023236907,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"25",2018122400,1162,"OAK","OAK","DEN","MAN","1b","OAK 17 xo(18); OAK 86 krxu(-4); OAK 28 flh31(-1); OAK 41 ch21(-1); OAK 82 4i(11)","X; X; H5; H4; 4",NA,"OAK 82","DEN 22 > OAK 82; DEN 29 > OAK 17",1162,"(12:55) D.Carr pass short middle to J.Nelson to OAK 28 for 12 yards (T.Brock).",2,2,5,"OAK","play_type_pass","OAK",16,"I_FORM","2 RB, 1 TE, 2 WR",8,6,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,7,"12:55:00",26,"","","C",12,12,1.62082311232382,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"26",2018122400,1382,"OAK","OAK","DEN","MAN","1","OAK 88 9o; OAK 82 9s; OAK 30 h66(5); OAK 83 8(12); OAK 85 9y","9; 9; H6; 8; 9",NA,"OAK 30","DEN 29 > OAK 88",1382,"(8:42) (Shotgun) D.Carr pass short middle to J.Richard to DEN 24 for 6 yards (T.Davis).",2,1,10,"OAK","play_type_pass","DEN",30,"SHOTGUN","1 RB, 2 TE, 2 WR",7,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,7,"08:42:00",80,"","","C",6,6,0.118725062817185,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"27",2018122400,2211,"OAK","OAK","DEN","MAN","1b","OAK 87 5o(13); OAK 30 kl; OAK 82 xd(4); OAK 88 7(12); OAK 10 2(5)","5; -; X; 7; 2",NA,NA,"DEN 29 > OAK 82; DEN 31 > OAK 87",2211,"(13:48) (Shotgun) D.Carr pass incomplete short middle to S.Roberts (A.Gotsis) [V.Miller]. PENALTY on DEN-V.Miller, Roughing the Passer, 15 yards, enforced at OAK 28 - No Play.",3,3,7,"OAK","play_type_unknown","OAK",28,"SHOTGUN","1 RB, 1 TE, 3 WR",6,NA,"3 DL, 2 LB, 6 DB","",NA,NA,"",NA,"RPS","DEN 58","I",0,15,2.41624843252435,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"28",2018122400,2409,"DEN","DEN","OAK","MAN","1b","DEN 81 4(4); DEN 17 4(10); DEN 23 h21(-1); DEN 89 7(10); DEN 14 6(5)","4; 4; H4; 7; 6",NA,"DEN 23","OAK 22 > DEN 14; OAK 23 > DEN 81; OAK 31 > DEN 17",2409,"(10:12) (Shotgun) C.Keenum pass short right to D.Booker to DEN 49 for 14 yards (K.Joseph; E.Harris). PENALTY on DEN-C.Sutton, Offensive Pass Interference, 10 yards, enforced at DEN 35 - No Play.",3,3,2,"DEN","play_type_unknown","DEN",35,"SHOTGUN","1 RB, 1 TE, 3 WR",6,NA,"4 DL, 2 LB, 5 DB","",NA,NA,"",NA,"OPI","DEN 14","C",14,-10,-0.705415694285303,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"29",2018122400,2547,"OAK","OAK","DEN","MAN","1","OAK 82 xd(5); OAK 87 7(12); OAK 30 h7(4); OAK 88 7i(10); OAK 10 9o","X; 7; H7; 7; 9",NA,"OAK 82","DEN 29 > OAK 88",2547,"(8:23) (Shotgun) D.Carr pass incomplete short right to J.Nelson.",3,3,3,"OAK","play_type_pass","OAK",39,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 2 LB, 6 DB","TRADITIONAL",0,17,"08:23:00",71,"","","I",0,0,-1.74320551900385,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"30",2018122400,3900,"OAK","OAK","DEN","MAN","1b","OAK 82 4(8); OAK 85 xd(2); OAK 41 h31(-1); OAK 28 flkl; OAK 86 xd(3)","4; X; H5; -; X",NA,"OAK 41","DEN 29 > OAK 82",3900,"(5:26) D.Carr pass short left to K.Smith to DEN 27 for 1 yard (J.Jewell).",4,3,7,"OAK","play_type_pass","DEN",28,"I_FORM","2 RB, 2 TE, 1 WR",9,5,"4 DL, 3 LB, 4 DB","TRADITIONAL",14,24,"05:26:00",82,"","","C",1,1,-1.03089919023249,FALSE,"12/24/2018","20:15:00","OAK","DEN",16
"31",2018101406,3664,"IND","IND","NYJ","MAN","1","IND 16 3(10)/; IND 25 krh4(1); IND 86 4(10); IND 80 2(2); IND 14 8(7)","3; H4; 4; 2; 8",NA,"IND 80","NYJ 21 > IND 16; NYJ 27 > IND 14; NYJ 43 > IND 80",3664,"(8:11) (Shotgun) A.Luck pass short middle intended for C.Rogers INTERCEPTED by D.Lee at 50. D.Lee to IND 25 for 25 yards (M.Mack).",4,3,5,"IND","play_type_pass","IND",45,"SHOTGUN","1 RB, 1 TE, 3 WR",5,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",27,36,"08:11:00",65,"","","IN",0,0,-5.23078339693084,FALSE,"10/14/2018","13:00:00","NYJ","IND",6
"32",2018123007,124,"CAR","CAR","NO","MAN","1","CAR 12 26(4); CAR 10 3(12); CAR 80 h3(-1); CAR 22 h2(-5)/; CAR 82 4(10)","6; 3; H3; H2; 4",NA,"CAR 10","NO 23 > CAR 12",124,"(13:49) (Shotgun) K.Allen pass incomplete short left to C.Samuel.",1,1,10,"CAR","play_type_pass","CAR",37,"SHOTGUN","1 RB, 2 TE, 2 WR",8,6,"4 DL, 3 LB, 4 DB","TRADITIONAL",0,0,"13:49:00",73,"","","I",0,0,-0.52368289306874,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"33",2018123007,1972,"CAR","CAR","NO","MAN","2Mb","CAR 12 8(12); CAR 13 xl(5); CAR 10 8i(10); CAR 38 kr; CAR 80 xd(2)","8; X; 8; -; X",NA,"CAR 80","NO 20 > CAR 12; NO 25 > CAR 10",1972,"(1:02) (No Huddle, Shotgun) K.Allen pass short left to I.Thomas to NO 39 for 8 yards (A.Anzalone). Pass 2, YAC 6",2,2,6,"CAR","play_type_pass","NO",47,"SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"4 DL, 2 LB, 5 DB","TRADITIONAL",20,0,"01:02:00",63,"","","C",8,8,0.4234708096099,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"34",2018123007,2056,"CAR","CAR","NO","MAN","0b","CAR 10 99(12); CAR 80 k; CAR 38 flkl; CAR 13 0u(-4); CAR 12 z","9; -; -; 0; -",NA,"CAR 10","NO 20 > CAR 10; NO 25 > CAR 12",2056,"(:28) (Shotgun) K.Allen pass incomplete short left to C.Samuel (K.Crawley).",2,2,9,"CAR","play_type_pass","NO",9,"SHOTGUN","1 RB, 1 TE, 3 WR",8,6,"4 DL, 2 LB, 5 DB","TRADITIONAL",20,0,"00:28:00",101,"","","I",0,0,-0.332085961582889,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"35",2018123007,1169,"NO","NO","CAR","MAN","1b","NO 89 19(6); NO 82 9s; NO 22 h5(0); NO 85 1; NO 13 2(5)","9; 9; H5; 3; 2",NA,"NO 13","CAR 24 > NO 13",1169,"(12:10) (Shotgun) T.Bridgewater pass short right to M.Thomas to CAR 18 for 8 yards (J.Bradberry). Pass 8, YAC 0",2,3,3,"NO","play_type_pass","CAR",26,"SHOTGUN","1 RB, 3 TE, 1 WR",9,5,"4 DL, 3 LB, 4 DB","TRADITIONAL",13,0,"12:10:00",36,"","","C",8,8,1.20760776300346,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"36",2018123007,1285,"NO","NO","CAR","MAN","RZb","NO 85 99; NO 82 k; NO 22 kr; NO 10 99(18); NO 13 x6(4)","9; -; -; 9; X","CAR 41","NO 10","CAR 26 > NO 85; CAR 41 > NO 10",1285,"(9:51) (Shotgun) T.Bridgewater pass incomplete short right to T.Smith (C.Munnerlyn).",2,4,2,"NO","play_type_pass","CAR",10,"SHOTGUN","1 RB, 2 TE, 2 WR",7,7,"4 DL, 2 LB, 5 DB","TRADITIONAL",13,0,"09:51:00",20,"","","I",0,0,-3.35265450734445,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"37",2018123007,1384,"CAR","CAR","NO","MAN","1b","CAR 10 8(15); CAR 80 28(10); CAR 34 flkr; CAR 82 kr; CAR 12 9","8; 8; -; -; 9",NA,"CAR 80","NO 23 > CAR 10; NO 25 > CAR 12",1384,"(8:23) K.Allen pass incomplete deep right to I.Thomas.",2,1,10,"CAR","play_type_pass","CAR",20,"I_FORM","1 RB, 2 TE, 2 WR",8,7,"4 DL, 3 LB, 4 DB","TRADITIONAL",13,0,"08:23:00",30,"","","I",0,0,-0.498354807476206,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"38",2018123007,1428,"CAR","CAR","NO","MAN","1b","CAR 12 9; CAR 13 8(12); CAR 34 kl; CAR 80 cxd(-1); CAR 10 9","9; 8; -; X; 9",NA,"CAR 12","NO 23 > CAR 12; NO 25 > CAR 10",1428,"(8:16) (Shotgun) K.Allen pass deep left to D.Moore pushed ob at NO 42 for 38 yards (M.Lattimore) [V.Bell]. Pass 35, YAC 3",2,3,10,"CAR","play_type_pass","CAR",20,"SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"4 DL, 2 LB, 5 DB","TRADITIONAL",13,0,"08:16:00",30,"","","C",38,38,3.72268494345027,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"39",2018123007,1504,"CAR","CAR","NO","MAN","2M","CAR 13 0(-2); CAR 10 9y; CAR 12 x6(3); CAR 80 8o(9); CAR 34 0(-2)","0; 9; X; 8; 0","NO 25","CAR 12","NO 23 > CAR 13; NO 25 > CAR 12",1504,"(6:23) (Shotgun) K.Allen pass incomplete short left to D.Moore (E.Apple).",2,3,7,"CAR","play_type_pass","NO",39,"EMPTY","1 RB, 1 TE, 3 WR",4,4,"4 DL, 2 LB, 5 DB","SCRAMBLE_ROLLOUT_LEFT",13,0,"06:23:00",71,"","","I",0,0,-1.44975100012948,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"40",2018123007,1530,"CAR","CAR","NO","MAN","1b","CAR 12 8i(12); CAR 10 4(6); CAR 34 kl; CAR 80 3o(10); CAR 13 21(3)","8; 4; -; 3; 3",NA,"CAR 13","NO 23 > CAR 12",1530,"(6:18) (Shotgun) K.Allen pass short right to J.Wright to NO 28 for 11 yards (A.Anzalone). Pass 3, YAC 8",2,4,7,"CAR","play_type_pass","NO",39,"SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"3 DL, 3 LB, 5 DB","TRADITIONAL",13,0,"06:18:00",71,"","","C",11,11,3.06390430638137,FALSE,"12/30/2018","13:00:00","NO","CAR",17
"41",2018123007,2950,"NO","NO","CAR","MAN","1","NO 11 6(6); NO 80 x6(4); NO 07 9y; NO 42 klh3(-7); NO 13 2(1)","6; X; 9; H3; 2",NA,"NO 13","CAR 24 > NO 13; CAR 41 > NO 80",2950,"(1:13) (Shotgun) T.Bridgewater pass short right to M.Thomas to CAR 30 for 7 yards (J.Bradberry). Pass 4, YAC 3",3,3,4,"NO","play_type_pass","CAR",37,"SHOTGUN","2 QB, 1 RB, 0 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",30,0,"01:13:00",73,"","","C",7,7,1.39695369090484,FALSE,"12/30/2018","13:00:00","NO","CAR",17
